Parcel,Code,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24
ABD012,ARTRT,3,,20,,3,,7,,7,,9,,,,,,,,,,,,,
ABD012,ERNA10,0,,2,,5,,3,,3,,3,,,,,,,,,,,,,
ABD012,ARTRP2,2,,1,,0,,0,,2,,0,,,,,,,,,,,,,
ABD012,ATCA2,2,,0,,0,,1,,0,,0,,,,,,,,,,,,,
ABD012,PSARM,3,,0,,0,,0,,0,,0,,,,,,,,,,,,,
ABD012,PSPO,0,,0,,0,,0,,0,,1,,,,,,,,,,,,,
ABD012,STPA4,0,,0,,0,,0,,0,,1,,,,,,,,,,,,,
ABD012,ACHY,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,
ABD012,ACSP5,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,
ABD012,ENAC,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,
ABD012,ERBR7,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,
ABD012,ERMA2,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,
ABD012,ERTE18,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,
ABD012,KRLA2,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,
BGP019,DISP,19,,6,,2,,8,,12,,5,,13,,11,,42,,,,,,,
BGP019,JUBA,3,,2,,4,,0,,1,,3,,5,,1,,0,,,,,,,
BGP019,SPAI,2,,0,,0,,0,,2,,0,,0,,8,,0,,,,,,,
BGP019,MEAL2,1,,0,,0,,0,,0,,0,,4,,2,,1,,,,,,,
BGP019,ELTR3,0,,0,,6,,1,,0,,0,,0,,0,,0,,,,,,,
BGP019,ATTO,0,,0,,0,,0,,3,,0,,2,,0,,0,,,,,,,
BGP019,ERNA10,0,,1,,0,,0,,1,,0,,0,,3,,0,,,,,,,
BGP019,LELA2,0,,5,,0,,0,,0,,0,,0,,0,,0,,,,,,,
BGP019,MALE3,0,,0,,1,,1,,0,,3,,0,,0,,0,,,,,,,
BGP019,JUME4,0,,0,,0,,0,,0,,2,,2,,0,,0,,,,,,,
BGP019,HECU3,0,,0,,0,,2,,0,,1,,0,,0,,0,,,,,,,
BGP019,PYRA,0,,0,,0,,0,,0,,0,,0,,0,,3,,,,,,,
BGP019,ATTR,0,,0,,1,,1,,0,,0,,0,,0,,0,,,,,,,
BGP019,BAHY,0,,2,,0,,0,,0,,0,,0,,0,,0,,,,,,,
BGP019,CAREX,0,,0,,0,,0,,0,,0,,1,,0,,1,,,,,,,
BGP019,ASLE8,0,,0,,0,,0,,1,,0,,0,,0,,0,,,,,,,
BGP031,DISP,7,,3,,3,,6,,2,,4,,9,,,,,,,,,,,
BGP031,SPAI,2,,1,,0,,1,,0,,3,,2,,,,,,,,,,,
BGP031,ERNA10,2,,3,,1,,0,,2,,0,,0,,,,,,,,,,,
BGP031,SAVE4,1,,2,,3,,0,,0,,0,,1,,,,,,,,,,,
BGP031,ELCI2,0,,0,,1,,0,,4,,0,,1,,,,,,,,,,,
BGP031,ATPA3,0,,0,,0,,2,,0,,3,,0,,,,,,,,,,,
BGP031,GLLE3,0,,4,,0,,0,,0,,0,,0,,,,,,,,,,,
BGP031,JUBA,0,,0,,0,,0,,1,,0,,3,,,,,,,,,,,
BGP031,ATTO,0,,3,,0,,0,,0,,0,,0,,,,,,,,,,,
BGP031,PHAU7,0,,2,,0,,0,,0,,0,,0,,,,,,,,,,,
BGP031,ELTR3,0,,1,,0,,0,,0,,0,,0,,,,,,,,,,,
BGP031,TYDO,0,,0,,0,,0,,0,,0,,1,,,,,,,,,,,
BGP047,DISP,14,,0,,6,,6,,3,,11,,7,,4,,,,,,,,,
BGP047,NIOC2,7,,0,,0,,2,,0,,1,,1,,21,,,,,,,,,
BGP047,ERAL23,0,,0,,0,,0,,1,,0,,3,,0,,,,,,,,,
BGP047,SAVE4,0,,3,,0,,0,,0,,0,,0,,0,,,,,,,,,
BGP047,SPAI,0,,2,,0,,0,,0,,0,,0,,0,,,,,,,,,
BGP047,ARCA6,0,,1,,0,,0,,0,,0,,0,,0,,,,,,,,,
BGP047,ATPA3,0,,1,,0,,0,,0,,0,,0,,0,,,,,,,,,
BGP086,SPAI,0,,11,,34,,25,,23,,14,,0,,1,,,,,,,,,
BGP086,ERNA10,1,,5,,1,,1,,2,,3,,19,,11,,,,,,,,,
BGP086,ATTO,1,,0,,3,,6,,2,,4,,5,,5,,,,,,,,,
BGP086,DISP,0,,3,,2,,7,,1,,5,,2,,0,,,,,,,,,
BGP086,SAVE4,11,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,
BGP086,JUBA,0,,2,,1,,0,,0,,0,,3,,0,,,,,,,,,
