,Year,Parcel,Transect,Code,Cover,Duplicate
1,2020,ABD012,2,ARTR2,2,NA
2,2020,ABD012,2,ERNA10,9,NA
3,2020,ABD012,2,ATCA2,13,NA
4,2020,ABD012,2,HYSA,1,NA
5,2020,ABD012,4,ACSP12,1,NA
6,2020,ABD012,4,ARTR2,6,NA
7,2020,ABD012,4,ERNA10,12,NA
8,2020,ABD012,6,ARTR2,9,NA
9,2020,ABD012,6,ERNA10,2,NA
10,2020,ABD012,8,ERNA10,6,NA
11,2020,ABD012,8,ARTR2,11,NA
12,2020,ABD012,10,ERNA10,23,NA
13,2020,ABD012,10,ATCA2,2,NA
14,2020,ABD012,12,ERNA10,15,NA
15,2020,ABD012,12,ATCA2,5,NA
16,2020,BGP019,2,JUARL,5,NA
17,2020,BGP019,2,ELPA3,18,NA
18,2020,BGP019,2,ERNA10,1,NA
19,2020,BGP019,2,DISP,2,NA
20,2020,BGP019,4,JUARL,1,NA
21,2020,BGP019,4,ELPA3,4,NA
22,2020,BGP019,4,DISP,4,NA
23,2020,BGP019,6,JUARL,2,NA
24,2020,BGP019,6,DISP,14,NA
25,2020,BGP019,6,BAHY,6,NA
26,2020,BGP019,6,ELEOC,4,NA
27,2020,BGP019,6,SPAI,1,NA
28,2020,BGP019,8,DISP,16,NA
29,2020,BGP019,8,ATTO,1,NA
30,2020,BGP019,8,SPAI,9,NA
31,2020,BGP019,10,DISP,11,NA
32,2020,BGP019,10,MALE3,3,NA
33,2020,BGP019,10,HECU3,2,NA
34,2020,BGP019,12,DISP,11,NA
35,2020,BGP019,12,ATTO,1,NA
36,2020,BGP019,12,MALE3,1,NA
37,2020,BGP019,12,ELEOC,1,NA
38,2020,BGP019,12,ELPA3,2,NA
39,2020,BGP019,12,JUARL,3,NA
40,2020,BGP019,12,HEAN3,1,NA
41,2020,BGP019,12,ERNA10,16,NA
42,2020,BGP019,12,MESA,3,NA
43,2020,BGP019,14,DISP,17,NA
44,2020,BGP019,14,ELPA3,2,NA
45,2020,BGP019,14,JUARL,1,NA
46,2020,BGP019,14,ERNA10,11,NA
47,2020,BGP019,14,MESA,1,NA
48,2020,BGP019,14,CAREX,3,NA
49,2020,BGP019,16,DISP,19,NA
50,2020,BGP019,16,JUARL,1,NA
51,2020,BGP019,16,SPAI,17,NA
52,2020,BGP019,16,PYRA,2,NA
53,2020,BGP019,16,ERNA10,2,NA
54,2020,BGP019,18,DISP,19,NA
55,2020,BGP019,18,JUARL,1,NA
56,2020,BGP019,18,SPAI,17,NA
57,2020,BGP019,18,ERNA10,3,NA
58,2020,BGP019,18,CIMO,2,NA
59,2020,BGP019,18,MESA,5,NA
60,2020,BGP019,18,ANCA10,2,NA
61,2020,BGP031,2,DISP,8,NA
62,2020,BGP031,2,NIOC2,1,NA
63,2020,BGP031,2,SAVE4,12,NA
64,2020,BGP031,2,SPAI,4,NA
65,2020,BGP031,2,ERNA10,1,NA
66,2020,BGP031,4,DISP,6,NA
67,2020,BGP031,4,SAVE4,2,NA
68,2020,BGP031,4,SPAI,7,NA
69,2020,BGP031,4,ERNA10,1,NA
70,2020,BGP031,4,ATTO,1,NA
71,2020,BGP031,4,MACA17,1,NA
72,2020,BGP031,6,DISP,7,NA
73,2020,BGP031,6,NIOC2,2,NA
74,2020,BGP031,6,SAVE4,2,NA
75,2020,BGP031,6,SPAI,4,NA
76,2020,BGP031,6,ERNA10,1,NA
77,2020,BGP031,6,MACA17,1,NA
78,2020,BGP031,8,LECI4,5,NA
79,2020,BGP031,8,PHRAG,2,NA
80,2020,BGP031,8,ERNA10,3,NA
81,2020,BGP031,8,DISP,6,NA
82,2020,BGP031,8,ATTO,1,NA
83,2020,BGP031,10,LECI4,5,NA
84,2020,BGP031,10,ERNA10,1,NA
85,2020,BGP031,10,DISP,5,NA
86,2020,BGP031,10,SPAI,3,NA
87,2020,BGP031,10,SAVE4,2,NA
88,2020,BGP031,10,MACA17,2,NA
89,2020,BGP031,12,LECI4,2,NA
90,2020,BGP031,12,DISP,6,NA
91,2020,BGP031,12,SPAI,6,NA
92,2020,BGP031,12,SAVE4,2,NA
93,2020,BGP031,14,LECI4,2,NA
94,2020,BGP031,14,DISP,14,NA
95,2020,BGP031,14,SPAI,4,NA
96,2020,BGP031,14,MACA17,1,NA
97,2020,BGP031,14,CADO2,1,NA
98,2020,BGP031,14,POSE,1,NA
99,2020,BGP031,14,PYRA,1,NA
100,2020,BGP031,14,JUARL,2,NA
101,2020,BGP047,2,SPAI,4,NA
102,2020,BGP047,2,DISP,11,NA
103,2020,BGP047,2,NIOC2,5,NA
104,2020,BGP047,4,SPAI,11,NA
105,2020,BGP047,4,DISP,1,NA
106,2020,BGP047,4,ATPA3,1,NA
107,2020,BGP047,6,SPAI,6,NA
108,2020,BGP047,6,DISP,7,NA
109,2020,BGP047,8,DISP,3,NA
110,2020,BGP047,8,NIOC2,8,NA
111,2020,BGP047,8,CHAL9,7,NA
112,2020,BGP047,10,DISP,5,NA
113,2020,BGP047,10,NIOC2,1,NA
114,2020,BGP047,10,CHAL9,5,NA
115,2020,BGP047,12,DISP,8,NA
116,2020,BGP047,12,NIOC2,4,NA
117,2020,BGP047,12,CHAL9,3,NA
118,2020,BGP047,14,DISP,14,NA
119,2020,BGP047,14,NIOC2,12,NA
120,2020,BGP047,14,SPAI,3,NA
121,2020,BGP047,14,SAVE4,1,NA
122,2020,BGP047,14,PYRA,1,NA
123,2020,BGP086,2,SPAI,1,NA
124,2020,BGP086,2,DISP,3,NA
125,2020,BGP086,2,ATTO,14,NA
126,2020,BGP086,2,SUMO,3,NA
127,2020,BGP086,4,SPAI,12,NA
128,2020,BGP086,4,ERNA10,5,NA
129,2020,BGP086,4,DISP,3,NA
130,2020,BGP086,6,SPAI,40,NA
131,2020,BGP086,6,ERNA10,5,NA
132,2020,BGP086,6,DISP,2,NA
133,2020,BGP086,6,ATTO,2,NA
134,2020,BGP086,8,SPAI,19,NA
135,2020,BGP086,8,DISP,31,NA
136,2020,BGP086,8,ATTO,5,NA
137,2020,BGP086,10,SPAI,31,NA
138,2020,BGP086,10,ATTO,2,NA
139,2020,BGP086,10,ERNA10,3,NA
140,2020,BGP086,12,SPAI,5,NA
141,2020,BGP086,12,DISP,6,NA
142,2020,BGP086,12,ATTO,21,NA
143,2020,BGP086,12,ERNA10,3,NA
144,2020,BGP086,12,MALE3,1,NA
145,2020,BGP086,14,SPAI,18,NA
146,2020,BGP086,14,DISP,4,NA
147,2020,BGP086,14,SAVE4,12,NA
148,2020,BGP086,14,GLLE3,3,NA
149,2020,BGP086,14,ATTO,2,NA
150,2020,BGP086,16,ATTO,8,NA
151,2020,BGP086,16,SPAI,3,NA
152,2020,BGP086,16,ERNA10,6,NA
153,2020,BGP086,16,ARTR2,26,NA
154,2020,BGP088,2,ATTO,4,NA
155,2020,BGP088,2,ARTR2,3,NA
156,2020,BGP088,2,SAVE4,11,NA
157,2020,BGP088,2,SUMO,1,NA
158,2020,BGP088,4,ATTO,24,NA
159,2020,BGP088,4,ARTR2,2,NA
160,2020,BGP088,6,ATTO,18,NA
161,2020,BGP088,6,ARTR2,1,NA
162,2020,BGP088,6,SAVE4,3,NA
163,2020,BGP088,8,ATTO,8,NA
164,2020,BGP088,8,ARTR2,7,NA
165,2020,BGP088,8,SPAI,1,NA
166,2020,BGP088,8,ERNA10,2,NA
167,2020,BGP094,2,JUARL,14,NA
168,2020,BGP094,2,GLLE3,13,NA
169,2020,BGP094,2,SPAI,17,NA
170,2020,BGP094,2,DISP,12,NA
171,2020,BGP094,2,LETR5,2,NA
172,2020,BGP094,2,MALE3,1,NA
173,2020,BGP094,2,ASFA,2,NA
174,2020,BGP094,4,SPAI,27,NA
175,2020,BGP094,4,DISP,15,NA
176,2020,BGP094,6,JUARL,2,NA
177,2020,BGP094,6,GLLE3,3,NA
178,2020,BGP094,6,SPAI,28,NA
179,2020,BGP094,6,DISP,32,NA
180,2020,BGP094,6,NIOC2,3,NA
181,2020,BGP094,6,ROWOU,8,NA
182,2020,BGP094,8,SPAI,13,NA
183,2020,BGP094,8,DISP,39,NA
184,2020,BGP094,8,GLLE3,6,NA
185,2020,BGP094,8,BAHY,4,NA
186,2020,BGP094,8,ATTO,1,NA
187,2020,BGP094,8,ERNA10,12,NA
188,2020,BGP094,8,JUARL,3,NA
189,2020,BGP094,10,DISP,26,NA
190,2020,BGP094,10,GLLE3,4,NA
191,2020,BGP094,10,BAHY,4,NA
192,2020,BGP094,10,JUARL,2,NA
193,2020,BGP094,10,LETR5,1,NA
194,2020,BGP094,10,MALE3,5,NA
195,2020,BGP154,2,ATTO,30,NA
196,2020,BGP154,2,SAEX,3,NA
197,2020,BGP154,4,ATTO,24,NA
198,2020,BGP154,4,SAVE4,2,NA
199,2020,BGP154,6,ATTO,6,NA
200,2020,BGP154,6,SAVE4,9,NA
201,2020,BGP154,6,SPAI,4,NA
202,2020,BGP154,6,DISP,1,NA
203,2020,BGP154,8,ATTO,34,NA
204,2020,BGP154,8,SPAI,1,NA
205,2020,BGP154,8,SAEX,5,NA
206,2020,BGP154,10,ATTO,16,NA
207,2020,BGP154,10,SPAI,5,NA
208,2020,BGP154,10,BAHY,2,NA
209,2020,BGP154,10,SAVE4,2,NA
210,2020,BGP154,10,DISP,3,NA
211,2020,BGP154,12,ATTO,13,NA
212,2020,BGP154,12,SPAI,5,NA
213,2020,BGP154,12,SAEX,3,NA
214,2020,BGP154,12,DISP,2,NA
215,2020,BGP157,2,ERNA10,15,NA
216,2020,BGP157,2,SPAI,4,NA
217,2020,BGP157,2,DISP,3,NA
218,2020,BGP157,4,ERNA10,9,NA
219,2020,BGP157,4,SPAI,16,NA
220,2020,BGP157,4,SAEX,29,NA
221,2020,BGP157,4,MEOF,2,NA
222,2020,BGP157,4,ATTO,7,NA
223,2020,BGP157,6,ERNA10,1,NA
224,2020,BGP157,6,SPAI,5,NA
225,2020,BGP157,6,ATTO,8,NA
226,2020,BGP157,6,EPNE,1,NA
227,2020,BGP157,6,ARTR2,2,NA
228,2020,BGP157,8,SPAI,10,NA
229,2020,BGP157,8,ERNA10,14,NA
230,2020,BGP157,8,ARTR2,2,NA
231,2020,BGP157,8,ATTO,8,NA
232,2020,BGP157,10,ERNA10,3,NA
233,2020,BGP157,10,ARTR2,11,NA
234,2020,BGP157,10,ATTO,1,NA
235,2020,BGP157,10,SAEX,4,NA
236,2020,BGP157,12,SPAI,12,NA
237,2020,BGP157,12,MEOF,16,NA
238,2020,BGP157,12,DISP,7,NA
239,2020,BGP157,12,ERNA10,3,NA
240,2020,BGP157,12,ARTR2,7,NA
241,2020,BGP157,12,ATTO,4,NA
242,2020,BGP157,12,SAEX,30,NA
243,2020,BGP157,14,SPAI,8,NA
244,2020,BGP157,14,ATTO,6,NA
245,2020,BGP157,14,SAVE4,6,NA
246,2020,BGP157,14,ATCO,3,NA
247,2020,BGP162,2,ATTO,3,NA
248,2020,BGP162,2,SATR12,10,NA
249,2020,BGP162,4,SAVE4,14,NA
250,2020,BGP162,6,ATTO,5,NA
251,2020,BGP162,6,SAVE4,20,NA
252,2020,BGP162,6,SUMO,6,NA
253,2020,BGP162,8,ERNA10,7,NA
254,2020,BGP162,8,SATR12,4,NA
255,2020,BGP162,10,ERNA10,1,NA
256,2020,BGP162,10,ARTR2,31,NA
257,2020,BGP162,12,ERNA10,1,NA
258,2020,BGP162,12,ATTO,9,NA
259,2020,BGP162,12,SPAI,11,NA
260,2020,BGP162,12,ARTR2,10,NA
261,2020,BGP162,12,SAVE4,1,NA
262,2020,BGP162,14,ERNA10,24,NA
263,2020,BGP162,14,ATTO,3,NA
264,2020,BGP162,14,ARTR2,2,NA
265,2020,BGP162,16,ATTO,8,NA
266,2020,BGP162,16,ERNA10,27,NA
267,2020,BIS055,2,ATTO,7,NA
268,2020,BIS055,2,DISP,22,NA
269,2020,BIS055,4,ATTO,40,NA
270,2020,BIS055,4,ROWOU,3,NA
271,2020,BIS055,4,LETR5,1,NA
272,2020,BIS055,4,DISP,8,NA
273,2020,BIS055,4,ERNA10,10,NA
274,2020,BIS055,4,SPAI,2,NA
275,2020,BIS055,6,ATTO,12,NA
276,2020,BIS055,6,DISP,9,NA
277,2020,BIS055,6,ROWOU,3,NA
278,2020,BIS055,6,LETR5,5,NA
279,2020,BIS055,6,ERNA10,5,NA
280,2020,BIS055,6,SALA3,31,NA
281,2020,BIS055,6,APCA,2,NA
282,2020,BIS055,6,SAVE4,4,NA
283,2020,BIS055,6,GLLE3,6,NA
284,2020,BIS055,8,ERNA10,7,NA
285,2020,BIS055,8,SPAI,37,NA
286,2020,BIS055,8,JUARL,2,NA
287,2020,BIS055,8,GLLE3,5,NA
288,2020,BIS055,8,DISP,19,NA
289,2020,BIS060,2,LETR5,55,NA
290,2020,BIS060,2,ROWOU,22,NA
291,2020,BIS060,2,DISP,5,NA
292,2020,BIS060,2,JUARL,6,NA
293,2020,BIS060,2,GLLE3,7,NA
294,2020,BIS060,4,LETR5,77,NA
295,2020,BIS060,4,JUARL,6,NA
296,2020,BIS060,4,GLLE3,7,NA
297,2020,BIS060,6,LETR5,43,NA
298,2020,BIS060,6,JUARL,41,NA
299,2020,BIS060,6,GLLE3,4,NA
300,2020,BIS060,8,LETR5,36,NA
301,2020,BIS060,8,DISP,13,NA
302,2020,BIS060,8,ERNA10,14,NA
303,2020,BIS060,8,ATTO,13,NA
304,2020,BIS085,2,SATR12,1,NA
305,2020,BIS085,2,ERNA10,3,NA
306,2020,BIS085,2,BAHY,1,NA
307,2020,BIS085,2,AAFF,1,NA
308,2020,BIS085,4,ERNA10,17,NA
309,2020,BIS085,4,DISP,9,NA
310,2020,BIS085,4,LETR5,13,NA
311,2020,BIS085,4,LELA2,1,NA
312,2020,BIS085,6,SATR12,1,NA
313,2020,BIS085,6,ERNA10,17,NA
314,2020,BIS085,6,DISP,7,NA
315,2020,BIS085,6,SPAI,3,NA
316,2020,BIS085,6,LETR5,2,NA
317,2020,BIS085,8,DISP,8,NA
318,2020,BIS085,8,ERNA10,31,NA
319,2020,BIS085,8,LETR5,5,NA
320,2020,BIS085,10,DISP,18,NA
321,2020,BIS085,10,ATTO,17,NA
322,2020,BIS085,10,BAHY,2,NA
323,2020,BIS085,10,JUARL,7,NA
324,2020,BIS085,10,ERNA10,4,NA
325,2020,BIS085,10,LETR5,2,NA
326,2020,BIS085,10,SPAI,1,NA
327,2020,BIS085,12,DISP,6,NA
328,2020,BIS085,12,ERNA10,13,NA
329,2020,BIS085,12,LETR5,4,NA
330,2020,BIS085,12,SPAI,4,NA
331,2020,BIS085,12,SAEX,2,NA
332,2020,BLK002,2,ERNA10,28,NA
333,2020,BLK002,2,ATCA2,4,NA
334,2020,BLK002,2,ARTR2,2,NA
335,2020,BLK002,4,ERNA10,10,NA
336,2020,BLK002,4,SATR12,2,NA
337,2020,BLK002,8,ERNA10,6,NA
338,2020,BLK002,8,PSPO,12,NA
339,2020,BLK002,8,ACHY,2,NA
340,2020,BLK002,10,ERNA10,14,NA
341,2020,BLK002,10,ATTO,33,NA
342,2020,BLK002,12,ERNA10,16,NA
343,2020,BLK002,12,ATCA2,3,NA
344,2020,BLK002,12,ERMA2,2,NA
345,2020,BLK002,14,ARTR2,23,NA
346,2020,BLK002,16,ARTR2,21,NA
347,2020,BLK002,16,ERNA10,17,NA
348,2020,BLK002,18,ARTR2,19,NA
349,2020,BLK002,18,ERNA10,7,NA
350,2020,BLK002,20,ARTR2,5,NA
351,2020,BLK002,20,SPAI,10,NA
352,2020,BLK002,20,ERNA10,10,NA
353,2020,BLK002,20,LECI4,1,NA
354,2020,BLK002,20,DISP,1,NA
355,2020,BLK009,2,SPAI,4,NA
356,2020,BLK009,2,ARTR2,12,NA
357,2020,BLK009,2,STEPH,2,NA
358,2020,BLK009,2,ERNA10,8,NA
359,2020,BLK009,4,SPAI,1,NA
360,2020,BLK009,4,ARTR2,13,NA
361,2020,BLK009,6,SPAI,14,NA
362,2020,BLK009,6,DISP,1,NA
363,2020,BLK009,6,ATCO,3,NA
364,2020,BLK009,6,SAVE4,3,NA
