Parcel,Year,Transect,Cover,Shrub,Grass,Herb,Herb_Shrub,data_type,source.abr,plotid
BGP094,1986,13,50,21,26,3,0,lpt,bl,BGP094 _ 13 _ bl
BGP094,1986,12,61,15,41,5,0,lpt,bl,BGP094 _ 12 _ bl
BGP094,1986,9,42,23,19,0,0,lpt,bl,BGP094 _ 9 _ bl
BGP094,1986,8,48,7,41,0,0,lpt,bl,BGP094 _ 8 _ bl
BGP094,1986,11,58,6,42,10,0,lpt,bl,BGP094 _ 11 _ bl
BGP094,1986,10,44,10,33,1,0,lpt,bl,BGP094 _ 10 _ bl
BGP094,1986,5,49,24,25,0,0,lpt,bl,BGP094 _ 5 _ bl
BGP094,1986,4,55,6,42,7,0,lpt,bl,BGP094 _ 4 _ bl
BGP094,1986,7,48,10,33,5,0,lpt,bl,BGP094 _ 7 _ bl
BGP094,1986,6,49,4,44,1,0,lpt,bl,BGP094 _ 6 _ bl
BGP094,1986,1,42,10,32,0,0,lpt,bl,BGP094 _ 1 _ bl
BGP094,1986,3,40,7,33,0,0,lpt,bl,BGP094 _ 3 _ bl
BGP094,1986,2,46,17,29,0,0,lpt,bl,BGP094 _ 2 _ bl
BIS060,1987,3,32,2,30,0,0,lpt,bl,BIS060 _ 3 _ bl
BIS060,1987,4,34,2,29,3,0,lpt,bl,BIS060 _ 4 _ bl
BIS060,1987,1,41,0,38,3,0,lpt,bl,BIS060 _ 1 _ bl
BIS060,1987,2,42,7,30,5,0,lpt,bl,BIS060 _ 2 _ bl
BIS060,1987,7,48,1,47,0,0,lpt,bl,BIS060 _ 7 _ bl
BIS060,1987,8,25,4,16,5,0,lpt,bl,BIS060 _ 8 _ bl
BIS060,1987,5,41,0,38,3,0,lpt,bl,BIS060 _ 5 _ bl
BIS060,1987,6,36,2,33,1,0,lpt,bl,BIS060 _ 6 _ bl
BLK044,1986,1,22.5,13.75,8.75,0,0,wvcom,bl,BLK044 _ 1 _ bl
BLK059,1986,3,48,0,48,0,0,lpt,bl,BLK059 _ 3 _ bl
BLK059,1986,4,57,10,47,0,0,lpt,bl,BLK059 _ 4 _ bl
BLK059,1986,5,64,11,53,0,0,lpt,bl,BLK059 _ 5 _ bl
BLK059,1986,6,46,13,33,0,0,lpt,bl,BLK059 _ 6 _ bl
BLK059,1986,1,63,0,63,0,0,lpt,bl,BLK059 _ 1 _ bl
BLK059,1986,2,67,0,67,0,0,lpt,bl,BLK059 _ 2 _ bl
BLK069,1986,1,18.4,8,10.4,0,0,wvcom,bl,BLK069 _ 1 _ bl
BLK074,1986,1,31.35,19.47,11.88,0,0,wvcom,bl,BLK074 _ 1 _ bl
FSL044,1987,1,74,0,74,0,0,lpt,bl,FSL044 _ 1 _ bl
FSL044,1987,6,75,0,74,1,0,lpt,bl,FSL044 _ 6 _ bl
